DrugId,Drug Name,Unknown num
104,Bortezomib,79
1007,Docetaxel,17
1494,SN-38,3
1248,Daporinad,23
201,Epothilone B,56
1004,Vinblastine,38
283,Omipalisib,37
268,Sepantronium bromide,17
180,Thapsigargin,63
140,Vinorelbine,14
1031,Elesclomol,65
194,Luminespib,16
197,Bryostatin 1,57
11,Paclitaxel,78
200,Dacinostat,55
1057,Dactolisib,19
1016,Temsirolimus,24
87,GW843682X,363
208,Ispinesib Mesylate,39
53,CGP-60474,364
3,Rapamycin,83
83,JW-7-52-1,367
60,BI-2536,89
1372,Trametinib,12
135,Gemcitabine,15
133,Doxorubicin,55
1060,PD0325901,18
51,Dasatinib,77
1026,Tanespimycin,19
86,A-443654,364
273,CUDC-101,46
1149,TW 37,31
272,AR-42,43
1529,Pevonedistat,29
1024,Lestaurtinib,20
136,Mitomycin-C,55
328,SNX-2112,38
1022,AZD7762,17
1008,Methotrexate,22
9,MG-132,76
308,Foretinib,10
1059,AZD8055,38
1230,IOX2,16
1006,Cytarabine,40
274,Belinostat,53
299,OSI-027,13
182,Obatoclax Mesylate,27
157,JNK-9L,52
312,Tivozanib,38
302,PI-103,41
276,CAY10603,40
223,ZSTK474,38
170,Shikonin,53
226,GSK1070916,50
45,Z-LLNle-CHO,364
155,Ponatinib,52
35,NVP-TAE684,360
1242,(5Z)-7-Oxozeaenol,37
1239,YK-4-279,19
219,AT-7519,41
1218,JQ1,22
1010,Gefitinib,19
1526,Refametinib,30
282,Pelitinib,38
1012,Vorinostat,18
1527,Pictilisib,28
184,BMS-754807,15
32,Tozasertib,287
88,Entinostat,94
29,AZ628,363
41,S-Trityl-L-cysteine,364
55,A-770041,363
1264,SGC0946,11
159,HG6-64-1,53
1243,Piperlongumine,17
56,WH-4-023,366
1498,Selumetinib,25
119,Lapatinib,79
1259,Talazoparib,10
38,Saracatinib,359
204,Tipifarnib,56
254,Quizartinib,38
228,AKT inhibitor VIII,91
1021,Axitinib,18
1019,Bosutinib,20
134,Etoposide,51
310,YM201636,35
1011,Navitoclax,17
1,Erlotinib,81
301,PHA-793887,37
1054,Palbociclib,19
1192,GSK269962A,303
1053,MK-2206,20
303,PIK-93,35
175,PAC-1,61
1046,Wee1 Inhibitor,30
158,PF-562271,65
1037,BX795,66
306,Fedratinib,37
1015,CI-1040,90
64,CMK,364
30,Sorafenib,79
1377,Afatinib,26
167,OSU-03012,57
173,FH535,57
166,FTI-277,51
1262,UNC1215,44
1091,BMS-536924,83
277,Linifanib,37
152,CP466722,38
1219,PFI-1,5
1050,ZM447439,28
202,GSK1904529A,13
52,GNF-2,364
178,BAY-61-3606,59
260,NG-25,35
1066,AZD6482,71
207,AS601245,58
1038,NU7441,19
106,XMD8-85,366
1378,Bleomycin,18
1049,PD173074,18
229,Enzastaurin,38
1373,Dabrafenib,16
222,BX-912,37
1023,GW441756,19
37,Crizotinib,76
249,Cabozantinib,35
1013,Nilotinib,29
1029,Motesanib,19
326,GSK690693,39
295,NVP-BHG712,35
262,VX-11e,10
185,Linsitinib,13
305,TPCA-1,35
54,CGP-082996,364
287,KIN001-244,35
1133,Serdemetan,7
1236,UNC0638,44
5,Sunitinib,364
300,CX-5461,39
1164,XMD8-92,299
6,PHA-665752,359
1005,Cisplatin,37
1028,VX-702,88
1268,XAV939,13
89,Parthenolide,366
203,BMS-345541,12
1170,CCT-018159,37
224,AS605240,42
34,Imatinib,359
172,Embelin,55
291,KIN001-266,35
63,BMS-509744,363
275,I-BET-762,15
1241,CHIR-99021,62
293,Amuvatinib,39
1199,Tamoxifen,5
94,TGX221,365
1052,RO-3306,19
1495,Olaparib,29
1047,Nutlin-3a (-),17
1502,Bicalutamide,88
151,QS11,56
1175,Rucaparib,7
199,Pazopanib,59
292,Masitinib,38
177,GSK650394,61
1061,SB590885,21
281,Alectinib,38
294,MPS-1-IN-1,35
71,Pyrimethamine,365
179,5-Fluorouracil,12
111,Salubrinal,365
1129,PF-4708671,27
271,VNLG/124,40
186,Bexarotene,61
269,NSC-207895,40
1069,EHT-1864,6
298,OSI-930,38
255,CP724714,37
59,WZ-1-84,364
288,WHI-P97,35
91,GSK319347A,365
1018,Veliparib,20
1020,Lenalidomide,20
1371,PLX-4720,27
304,SB52334,36
221,TAK-715,37
1072,Avagacestat,17
1030,KU-55933,19
238,Idelalisib,37
1194,SB505124,16
1009,Tretinoin,70
110,Seliciclib,366
1067,CCT007093,6
333,T0901317,41
279,BIX02189,35
309,Y-39983,35
1025,SB216763,34
290,KIN001-260,35
206,Ruxolitinib,12
1042,Doramapimod,19
258,STF-62247,39
265,Tubastatin A,39
176,IPA-3,57
1039,SL0101,71
1033,Vismodegib,20
1530,PFI-3,70
1043,JNK Inhibitor VIII,20
345,KIN001-270,35
192,LFM-A13,56
230,GSK429286A,37
263,FR-180204,35
147,NSC-87877,53
193,GW-2580,37
341,Selisistat,40
1375,Temozolomide,11
266,Zibotentan,35
1114,Cetuximab,64
165,DMOG,53
1001,AICA Ribonucleotide,93
196,Phenformin,44
